Id,Values_code,Values_Hour01,Values_Hour02,Values_Hour03,Values_Hour04,Values_Hour05,Values_Hour06,Values_Hour07,Values_Hour08,Values_Hour09,Values_Hour10,Values_Hour11,Values_Hour12,Values_Hour13,Values_Hour14,Values_Hour15,Values_Hour16,Values_Hour17,Values_Hour18,Values_Hour19,Values_Hour20,Values_Hour21,Values_Hour22,Values_Hour23,Values_Hour24,Date,Daily Average
Sistema,Sistema,34.14417,34.14417,34.14417,34.14417,34.14417,34.14417,34.14417,34.14417,34.14417,34.14417,34.14417,34.14417,34.14417,34.14417,34.14417,34.14417,34.14417,34.14417,34.14417,34.14417,34.14417,34.14417,34.14417,34.14417,3/11/2000,34.14417
Sistema,Sistema,34.14417,34.14417,34.14417,34.14417,34.14417,34.14417,34.14417,34.14417,34.14417,34.14417,34.14417,34.14417,34.14417,34.14417,34.14417,34.14417,34.14417,34.14417,34.14417,34.14417,34.14417,34.14417,34.14417,34.14417,3/12/2000,34.14417
Sistema,Sistema,34.14417,34.14417,34.14417,34.14417,34.14417,34.14417,34.14417,34.14417,34.14417,34.14417,34.14417,34.14417,34.14417,34.14417,34.14417,34.14417,34.14417,34.14417,55.14417,61.14417,34.14417,34.14417,34.14417,34.14417,3/13/2000,36.23112652
Sistema,Sistema,34.14417,34.14417,34.14417,34.14417,34.14417,34.14417,34.14417,34.14417,34.14417,34.14417,34.14417,34.14417,34.14417,34.14417,34.14417,34.14417,34.14417,34.14417,61.14417,61.14417,55.14417,34.14417,34.14417,34.14417,3/14/2000,37.40503957
Sistema,Sistema,34.14417,34.14417,34.14417,34.14417,34.14417,34.14417,34.14417,34.14417,34.14417,34.14417,34.14417,34.14417,34.14417,34.14417,34.14417,34.14417,34.14417,34.14417,63.14417,63.14417,56.03417,34.14417,34.14417,34.14417,3/15/2000,37.61764826
Sistema,Sistema,34.14417,34.14417,34.14417,34.14417,34.14417,34.14417,34.14417,34.14417,34.14417,56.04417,59.14417,59.14417,56.03417,34.14417,34.14417,34.14417,34.14417,34.14417,63.14417,63.14417,59.14417,56.03417,34.14417,34.14417,3/16/2000,42.78243087
Sistema,Sistema,34.14417,34.14417,34.14417,34.14417,34.14417,34.14417,34.14417,34.14417,34.14417,34.14417,34.14417,34.14417,34.14417,34.14417,34.14417,34.14417,34.14417,34.14417,57.14417,63.64417,57.14417,55.14417,34.14417,34.14417,3/17/2000,38.33982217
Sistema,Sistema,34.14417,34.14417,34.14417,34.14417,34.14417,34.14417,34.14417,34.14417,34.14417,34.14417,34.14417,34.14417,34.14417,34.14417,34.14417,34.14417,34.14417,34.14417,62.14417,63.64417,62.14417,34.14417,34.14417,34.14417,3/18/2000,37.8615613
Sistema,Sistema,34.14417,34.14417,34.14417,34.14417,34.14417,34.14417,34.14417,34.14417,34.14417,34.14417,34.14417,34.14417,34.14417,34.14417,34.14417,34.14417,34.14417,34.14417,34.14417,59.14417,34.14417,34.14417,34.14417,34.14417,3/19/2000,35.23112652
Sistema,Sistema,34.14417,34.14417,34.14417,34.14417,34.14417,34.14417,34.14417,34.14417,34.14417,34.14417,34.14417,34.14417,34.14417,34.14417,34.14417,34.14417,34.14417,34.14417,63.14417,63.14417,63.14417,34.14417,34.14417,34.14417,3/20/2000,37.9267787
